Сторінка;Назва;Поточна ціна грн;Тип;Панелі — підтвердити точну модель;Панелі — підтвердити кількість;Інвертор — підтвердити точну модель;АКБ — підтвердити точну модель і кількість;Кріплення;Монтаж і матеріали;Статус
product-green-10kw.html;Мережева СЕС Elite 10 кВт;215901;мережева;LONGi BF 615 Вт;17 шт. = 10,455 кВт;Solis S6-GR3P10K02-NV-ND;не входить;дахове чи наземне — уточнити;монтаж поля 600 $ + до 100 м кабелю 160 $;ПОТРІБНА ЗАКУПІВЕЛЬНА ЦІНА SOLIS І КРІПЛЕННЯ
product-green-15kw.html;Мережева СЕС Elite 15 кВт;278928;мережева;LONGi BF 615 Вт;25 шт. = 15,375 кВт;Solis S6-GC3P15K03-LV-ND;не входить;дахове чи наземне — уточнити;монтаж поля 900 $ + до 120 м кабелю 192 $;ПОТРІБНА ЗАКУПІВЕЛЬНА ЦІНА SOLIS І КРІПЛЕННЯ
product-green-20kw.html;Мережева СЕС Elite 20 кВт;362070;мережева;LONGi BF 615 Вт;33 шт. = 20,295 кВт;Solis S6-GC3P20K03-LV-ND;не входить;дахове чи наземне — уточнити;монтаж поля 1200 $ + до 150 м кабелю 240 $;ПОТРІБНА ЗАКУПІВЕЛЬНА ЦІНА SOLIS І КРІПЛЕННЯ
product-green-30kw.html;Мережева СЕС Elite 30 кВт;500640;мережева;LONGi BF 615 Вт;49 шт. = 30,135 кВт;Solis S6-GC3P30K03-ND;не входить;дахове чи наземне — уточнити;монтаж поля 1800 $ + до 200 м кабелю 320 $;ПОТРІБНА ЗАКУПІВЕЛЬНА ЦІНА SOLIS І КРІПЛЕННЯ
product-hybrid-deye-6kw-turnkey.html;Гібридна СЕС Deye 6 кВт;187740;гібридна;LONGi BF 615 Вт;10 шт. = 6,15 кВт;Deye 6 кВт 1Ф — потрібен точний SKU;2 × Deye Pro-C 5,12 кВт·год = 10,24 кВт·год;дахове чи наземне — уточнити;монтаж поля 360 $ + підключення 250 $ + до 100 м кабелю 160 $;ПОТРІБНА ЦІНА КРІПЛЕННЯ
product-own-10kw.html;Гібридна СЕС 10 кВт;242721;гібридна;LONGi BF 615 Вт;17 шт. = 10,455 кВт;Deye 10 кВт — потрібен точний SKU і фазність;2 × Deye Pro-C 5,12 кВт·год = 10,24 кВт·год;дахове чи наземне — уточнити;монтаж поля 600 $ + підключення 250 $ + до 100 м кабелю 160 $;ПОТРІБНА ЦІНА КРІПЛЕННЯ
product-own-15kw.html;Гібридна СЕС 15 кВт;301725;гібридна;LONGi BF 615 Вт;25 шт. = 15,375 кВт;Deye 15 кВт HV — потрібен точний SKU;5 × BOS-G Pro 5,12 = 25,6 кВт·год + BMS 800 $ + стійка;дахове чи наземне — уточнити;монтаж поля 900 $ + підключення 250 $ + до 120 м кабелю 192 $;ПОТРІБНА ЦІНА СТІЙКИ І КРІПЛЕННЯ
product-own-20kw.html;Гібридна СЕС 20 кВт;362070;гібридна;LONGi BF 615 Вт;33 шт. = 20,295 кВт;Deye 20 кВт HV — потрібен точний SKU;5 × BOS-G Pro 5,12 = 25,6 кВт·год + BMS 800 $ + стійка;дахове чи наземне — уточнити;монтаж поля 1200 $ + підключення 250 $ + до 150 м кабелю 240 $;ПОТРІБНА ЦІНА СТІЙКИ І КРІПЛЕННЯ
product-own-30kw.html;Гібридна СЕС 30 кВт;514050;гібридна;LONGi BF 615 Вт;49 шт. = 30,135 кВт;Deye 30 кВт HV — потрібен точний SKU;5 × BOS-G Pro 5,12 = 25,6 кВт·год + BMS 800 $ + стійка;дахове чи наземне — уточнити;монтаж поля 1800 $ + підключення 250 $ + до 200 м кабелю 320 $;ПОТРІБНА ЦІНА СТІЙКИ І КРІПЛЕННЯ
product-own-50kw.html;Гібридна СЕС 50 кВт;1063413;гібридна;LONGi BF 615 Вт;82 шт. = 50,43 кВт;Deye SUN-50K-SG01HP3-EU-BM4;5 × BOS-G Pro 5,12 = 25,6 кВт·год + BMS 800 $ + стійка;дахове чи наземне — уточнити;монтаж поля 3000 $ + підключення 250 $ + до 300 м кабелю 480 $;ПОТРІБНА ЦІНА СТІЙКИ І КРІПЛЕННЯ
product-own-150kw.html;Гібридна СЕС 150 кВт;3786045;гібридна;LONGi BF 615 Вт;244 шт. = 150,06 кВт;потрібна погоджена схема інверторів;кількість BOS-G Pro визначається схемою інверторів і потрібною автономністю;дахове чи наземне — уточнити;уточнити склад робіт;ПОТРІБЕН ПРОЄКТ КОМПЛЕКТАЦІЇ
product-own-200kw.html;Гібридна СЕС 200 кВт;5055570;гібридна;LONGi BF 615 Вт;326 шт. = 200,49 кВт;потрібна погоджена схема інверторів;кількість BOS-G Pro визначається схемою інверторів і потрібною автономністю;дахове чи наземне — уточнити;уточнити склад робіт;ПОТРІБЕН ПРОЄКТ КОМПЛЕКТАЦІЇ
